Строка_шаблон(Мегафон)	ID_зоны(Редактор)	Объем	Наименование_зоны(Редактор)
800 минут (Домашний регион + Межгород + Поездки по России)	151	50	/Операторы домашнего региона
800 минут (Домашний регион + Межгород + Поездки по России)	18	50	/Остальные операторы России (*2)
800 минут (Домашний регион + Межгород + Поездки по России)	697	50	Внутрисетевой роуминг/Другие мобильные домашнего региона
800 минут (Домашний регион + Межгород + Поездки по России)	62	50	Внутрисетевой роуминг/Внутрисетевой роуминг/Россия (*3)
1000 минут (Домашний регион + Межгород + Поездки по России)	151	50	/Операторы домашнего региона
1000 минут (Домашний регион + Межгород + Поездки по России)	18	50	/Остальные операторы России (*2)
1000 минут (Домашний регион + Межгород + Поездки по России)	697	50	Внутрисетевой роуминг/Другие мобильные домашнего региона
1000 минут (Домашний регион + Межгород + Поездки по России)	62	50	Внутрисетевой роуминг/Внутрисетевой роуминг/Россия (*3)
1500 минут (Домашний регион + Межгород + Поездки по России)	151	100	/Операторы домашнего региона
1500 минут (Домашний регион + Межгород + Поездки по России)	18	100	/Остальные операторы России (*2)
1500 минут (Домашний регион + Межгород + Поездки по России)	697	100	Внутрисетевой роуминг/Другие мобильные домашнего региона
1500 минут (Домашний регион + Межгород + Поездки по России)	62	100	Внутрисетевой роуминг/Внутрисетевой роуминг/Россия (*3)
2000 минут (Домашний регион + Межгород + Поездки по России)	151	100	/Операторы домашнего региона
2000 минут (Домашний регион + Межгород + Поездки по России)	18	100	/Остальные операторы России (*2)
2000 минут (Домашний регион + Межгород + Поездки по России)	697	100	Внутрисетевой роуминг/Другие мобильные домашнего региона
2000 минут (Домашний регион + Межгород + Поездки по России)	62	100	Внутрисетевой роуминг/Внутрисетевой роуминг/Россия (*3)
3500 минут (Домашний регион + Межгород + Поездки по России)	151	100	/Операторы домашнего региона
3500 минут (Домашний регион + Межгород + Поездки по России)	18	100	/Остальные операторы России (*2)
3500 минут (Домашний регион + Межгород + Поездки по России)	697	100	Внутрисетевой роуминг/Другие мобильные домашнего региона
3500 минут (Домашний регион + Межгород + Поездки по России)	62	100	Внутрисетевой роуминг/Внутрисетевой роуминг/Россия (*3)
5000 минут (Домашний регион + Межгород + Поездки по России)	151	100	/Операторы домашнего региона
5000 минут (Домашний регион + Межгород + Поездки по России)	18	100	/Остальные операторы России (*2)
5000 минут (Домашний регион + Межгород + Поездки по России)	697	100	Внутрисетевой роуминг/Другие мобильные домашнего региона
5000 минут (Домашний регион + Межгород + Поездки по России)	62	100	Внутрисетевой роуминг/Внутрисетевой роуминг/Россия (*3)



; *1 - Переименовать в "Мегафон Россия", исправить шаблон (нет такой зоны "Россия")
; *2 - Привести содержание шаблона к этому виду или создать новый
; *3 - Привести зону к виду Остальные операторы России
